,H2O(L),H+,OH-,Cl-,Nd+++,Pr+++,(HA)2(org),dodecane,Nd(H(A)2)3(org),Pr(H(A)2)3(org)
0,1.110168701235832,0.0030294510063735435,2.991518841462561e-15,0.004161760721841483,0.0003038919493052726,7.354462251835524e-05,0.031693906113676784,0.17964599172219467,6.915980728556115e-05,1.804732590456687e-05
1,1.1101687012358181,0.002767829606803531,3.365649589729013e-15,0.004161760721841661,0.0003730517565908311,9.159194842292398e-05,0.03151664661668711,0.17964599172219445,0.00011567113731047092,3.062249487605975e-05
2,1.11016870123579,0.002590570109814603,3.663082482547738e-15,0.00416176072184163,0.00041956308661574444,0.00010416711739441662,0.03134115349161621,0.17964599172219337,0.0001615446146345307,4.324672590948908e-05
3,1.1101687012358,0.002415076984742528,4.001333154876106e-15,0.004161760721841614,0.0004654365639398154,0.00011679134842784398,0.03110406892878343,0.1796459917221877,0.00022337991424614852,6.043961390857824e-05
4,1.1101687012358297,0.0021779924219110696,4.546089861114039e-15,0.004161760721841681,0.0005272718635514451,0.00013398423642693586,0.030640777303275534,0.17964599172218668,0.00034399603860962077,9.425403138106166e-05
5,1.1101687012358379,0.0017147007964046699,6.050011595711142e-15,0.004161760721841664,0.0006478879879149236,0.00016779865389941997,0.028928491260642106,0.17964599172218398,0.0007887438414567491,0.00022026824274505737
6,0.9933088379478546,0.0013033730574077919,4.975387167920077e-15,0.002026228285333279,0.0001920915262420433,4.886021640147108e-05,0.028923607983486962,0.1796459917221863,0.0007931142675948225,0.00021752557565892492
7,0.9933088379478393,0.001298489780251961,4.9982532516168285e-15,0.002026228285333257,0.00019646195238011446,4.611754931533187e-05,0.02888095460445384,0.17964599172218504,0.0008178490439039962,0.00020700859236085393
8,0.9933088379478338,0.0012558364012187633,5.205602133747402e-15,0.0020262282853332637,0.0002211967286893087,3.5600566017262985e-05,0.02847820069217633,0.17964599172218002,0.0009877009140137091,0.00017140802634358352
9,1.3480619943461087,0.0195279794880799,8.567472801722815e-16,0.02300530630892512,0.0009877009140407064,0.00017140802634764266,0.03195313713700123,0.17964599172052112,6.71194537453713e-07,1.2559775499899195e-07
10,1.348061994342517,0.023002915932215113,6.552905811367825e-16,0.023005306309074207,6.711945332438329e-07,1.2559775402571872e-07,0.031955526755911116,0.1796459917205508,2.1023668881210506e-10,4.2419243261058004e-11
11,1.3480619943578045,0.023005305551360104,6.551784239905814e-16,0.02300530630931141,2.1023245676740485e-10,4.241826150815223e-11,0.031955527512841,0.17964599172055523,6.594904368764952e-14,1.43602526187042e-14
12,1.3480619943578045,0.023005306309065908,6.551783086628832e-16,0.023005306309311406,6.594142822254037e-14,1.4358395549202826e-14,0.03195552751308699,0.17964599172055531,2.014566352759914e-17,4.786378087509659e-18
13,1.3480619943578045,0.02300530630931189,6.551783082336449e-16,0.023005306309311403,1.8703191515880446e-17,4.403582001913678e-18,0.031955527513087154,0.17964599172055526,-2.902823860835263e-21,-8.819740784569772e-22
